NOME_ATIVO,DATA_NEGOCIACAO,ANO,MES,DIA,ANOMES,VALOR_ABERTURA,VALOR_MAIOR_NEGOCIACAO,VALOR_MENOR_NEGOCIACAO,VALOR_FECHAMENTO,VALOR_FECHAMENTO_AJUSTADO,VOLUME_NEGOCIADO,DATA_EXTRACAO
VALE3.SA,2020-10-14,2020,10,14,2020-10,62.08000183105469,63.290000915527344,62.040000915527344,63.0,46.41326141357422,22210600,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-15,2020,10,15,2020-10,62.40999984741211,62.86000061035156,61.97999954223633,62.470001220703125,46.02280426025391,16309700,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-16,2020,10,16,2020-10,62.70000076293945,63.09999847412109,62.2400016784668,62.2400016784668,45.85335922241211,15871000,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-19,2020,10,19,2020-10,62.72999954223633,63.18000030517578,61.95000076293945,61.95000076293945,45.63971328735352,29156200,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-20,2020,10,20,2020-10,61.77999877929688,62.290000915527344,61.33000183105469,61.84000015258789,45.55866622924805,25276800,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-21,2020,10,21,2020-10,61.650001525878906,63.209999084472656,61.59999847412109,62.84999847412109,46.30275344848633,21480900,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-22,2020,10,22,2020-10,63.11000061035156,63.4900016784668,62.43999862670898,63.09999847412109,46.48693084716797,32097700,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-23,2020,10,23,2020-10,62.619998931884766,63.88999938964844,62.220001220703125,63.45000076293945,46.74478149414063,24263400,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-26,2020,10,26,2020-10,62.900001525878906,63.45000076293945,62.0099983215332,62.5,46.04490280151367,18250900,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-27,2020,10,27,2020-10,62.5,62.900001525878906,62.060001373291016,62.52999877929688,46.06700897216797,18155500,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-28,2020,10,28,2020-10,61.95000076293945,62.06999969482422,60.25,60.2599983215332,44.3946533203125,23686100,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-29,2020,10,29,2020-10,60.970001220703125,62.2400016784668,59.790000915527344,62.02000045776367,45.69127655029297,37998800,2023-09-07 01:29:18.064408
VALE3.SA,2020-10-30,2020,10,30,2020-10,61.79999923706055,62.40999984741211,60.0099983215332,60.54999923706055,44.60829925537109,27476200,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-03,2020,11,03,2020-11,61.900001525878906,63.34000015258789,61.220001220703125,63.34000015258789,46.66374588012695,32900800,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-04,2020,11,04,2020-11,63.27999877929688,63.27999877929688,61.45000076293945,61.58000183105469,45.36712265014648,27932100,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-05,2020,11,05,2020-11,62.29999923706055,63.060001373291016,61.45000076293945,62.54999923706055,46.08174133300781,25563600,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-06,2020,11,06,2020-11,62.380001068115234,63.959999084472656,62.34000015258789,63.18999862670898,46.55323791503906,26452500,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-09,2020,11,09,2020-11,64.1500015258789,64.2699966430664,62.869998931884766,63.18999862670898,46.55323791503906,37728900,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-10,2020,11,10,2020-11,63.2400016784668,63.59000015258789,62.68999862670898,63.15999984741211,46.5311393737793,53960600,2023-09-07 01:29:18.064408
VALE3.SA,2020-11-11,2020,11,11,2020-11,63.18000030517578,63.91999816894531,63.0,63.59999847412109,46.85529327392578,25908500,2023-09-07 01:29:18.064408
